Kezdes;Nev;AdasDb
360;Laci;2
361;Bandi;3
361;Gyuri;2
363;Tomi;4
367;Bandi;2
367;Zsombor;1
368;Peti;1
368;Józsi;4
368;Csabi;1
370;Sanyi;3
371;Zoli;1
371;Józsi;2
373;Jani;1
377;Bandi;1
380;Bandi;2
380;Laci;2
381;Pityu;1
385;Bandi;1
387;Gabi;1
390;Józsi;2
392;Pityu;2
392;Gabi;2
393;Tomi;2
395;Sanyi;1
395;Tibi;3
396;Zsombor;1
398;Józsi;3
398;Tibi;1
400;Jani;1
402;Peti;3
402;Józsi;5
403;Zsombor;1
406;Imi;3
407;Bandi;4
408;Gyuri;3
409;Peti;4
410;Józsi;1
411;Bandi;1
413;Imi;3
415;Peti;2
418;Csabi;1
421;Feri;2
421;Lali;1
424;Feri;3
425;Gabi;4
426;Jani;2
427;Tomi;3
427;Bandi;4
430;Imi;1
430;Zoli;1
430;Csabi;3
432;Bandi;3
436;Gabi;1
436;Feri;1
439;Jani;2
439;Józsi;2
440;Gyuri;2
440;Józsi;3
442;Bandi;3
443;Zoli;1
444;Gabi;3
445;Zoli;5
447;Laci;2
448;Tibi;1
452;Zsolti;1
453;Peti;3
454;Zsombor;1
456;Zsombor;4
457;Pityu;3
457;Zoli;1
458;Zsolti;4
458;Laci;2
459;Pityu;4
459;Gyuri;2
460;Bandi;1
460;Laci;3
463;Gabi;5
465;Gyuri;4
467;Józsi;1
468;Feri;1
468;Bandi;1
469;Tomi;1
470;Peti;2
470;Csabi;1
470;Gyuri;3
472;Zsolti;4
473;Sanyi;1
475;Jani;4
476;Peti;2
476;Tomi;2
476;Tibi;4
478;Sanyi;1
478;Tomi;3
484;Sanyi;3
484;Jani;4
484;Zsombor;4
484;Lali;3
486;Gyuszi;2
486;Gyuszi;1
486;Tibi;1
489;Bandi;4
489;Pityu;2
489;Sanyi;3
489;Gabi;1
490;Csabi;3
490;Lali;2
492;Pityu;3
492;Tomi;1
493;Imi;3
493;Sanyi;2
493;Bandi;2
494;Lali;2
496;Tomi;1
499;Józsi;3
500;Sanyi;1
502;Csabi;1
503;Feri;1
503;Jani;2
505;Gyuri;2
505;Imi;1
507;Imi;1
507;Pityu;4
507;Sanyi;4
508;Feri;2
508;Tomi;4
508;Jani;2
511;Zsombor;3
512;Lali;2
513;Sanyi;1
513;Tomi;2
513;Laci;3
514;Józsi;3
519;Gyuri;2
523;Tomi;1
524;Zoli;3
524;Csabi;2
525;Zoli;3
526;Bandi;1
526;Gabi;3
527;Imi;3
528;Zsolti;3
530;Józsi;2
530;Bandi;4
534;Zsolti;4
543;Bandi;1
544;Bandi;2
545;Lali;3
546;Feri;2
546;Józsi;1
546;Zsombor;1
547;Lali;4
550;Zoli;3
551;Gyuri;4
551;Imi;3
553;Imi;2
556;Zsombor;2
557;Józsi;1
560;Peti;2
561;Laci;1
562;Gyuri;3
567;Feri;3
568;Lali;1
568;Feri;4
569;Gabi;1
570;Zoli;2
571;Lali;2
572;Gyuszi;4
574;Gabi;1
574;Pityu;2
576;Gabi;4
578;Józsi;4
579;Józsi;2
584;Gabi;1
586;Sanyi;2
586;Bandi;3
588;Feri;1
588;Imi;3
589;Peti;1
593;Csabi;2
593;Sanyi;1
595;Lali;1
595;Sanyi;2
595;Lali;1
595;Sanyi;4
596;Feri;3
597;Bandi;2
598;Zsombor;4
598;Bandi;2
599;Tomi;2
602;Feri;3
602;Gyuri;4
602;Tomi;2
603;Tomi;1
604;Jani;1
606;Peti;4
606;Gabi;3
606;Tibi;3
606;Peti;4
607;Józsi;2
607;Gyuszi;3
608;Jani;1
608;Sanyi;2
608;Zsolti;2
611;Zsolti;4
612;Gyuszi;2
613;Peti;1
613;Sanyi;2
613;Zsombor;2
614;Sanyi;2
615;Zoli;1
616;Tomi;2
618;Gyuszi;3
618;Csabi;3
619;Csabi;3
621;Csabi;1
622;Csabi;1
624;Peti;2
625;Sanyi;4
626;Pityu;2
626;Zsolti;3
626;Gabi;1
632;Gabi;4
632;Zsolti;2
633;Gabi;3
633;Tibi;2
633;Feri;3
633;Csabi;2
634;Laci;3
634;Gyuri;2
639;Laci;3
639;Sanyi;1
641;Zsolti;2
641;Csabi;1
641;Zsombor;2
641;Lali;3
642;Zoli;4
644;Sanyi;3
645;Jani;4
645;Gyuszi;2
646;Zsombor;4
651;Peti;4
