eredetiCim;magyarCim;bemutato;forgalmazo;bevel;latogato
Allied;Szövetségesek;2016.12.01;UIP;44341076;30804
Vaiana;Vaiana;2016.12.01;Forum;33362335;24664
Underworld: Blood Wars;Underworld – Vérözön;2016.12.01;InterCom;17756555;11578
#SOHAVÉGETNEMÉRŐS;#SOHAVÉGETNEMÉRŐS;2016.12.01;Szinfolt Film;9563885;8248
Just Drop Dead;Halj már meg!;2016.12.01;Big Bang Media;2024300;1473
Agassi;A szobalány;2016.12.01;MoziNet;1808700;1319
I, Daniel Blake;Én, Daniel Blake;2016.12.01;Vertigo;1697399;1293
Office Christmas Party;Hivatali Karácsony;2016.12.08;Freeman;77107627;55424
Incarnate;A démon arca;2016.12.08;InterCom;12208345;8512
Forushande;Az ügyfél;2016.12.08;MoziNet;735240;587
Rogue One: A Star Wars Story;Zsivány Egyes: Egy Star Wars történet (12);2016.12.15;Forum;244828960;167573
Demain tout commence/;Derült égből apu;2016.12.15;Vertigo;8613615;6663
Soul Exodus;Soul Exodus;2016.12.15;MoziNet;546760;476
Sing;Énekelj!;2016.12.22;UIP;46201896;36198
Why Him ?;Miért pont ő?;2016.12.22;InterCom;24633755;18250
Collateral Beauty;Váratlan szépség;2016.12.22;InterCom;10204295;7218
Hymyilevä mies;Olli Mäki legboldogabb napja;2016.12.22;MoziNet;142030;117
Assassin's Creed;Assassin's Creed;2016.12.29;InterCom;101798940;71145
La La Land;Kaliforniai álom;2016.12.29;Freeman;39556855;28864
Hacksaw Ridge;A fegyvertelen katona;2016.12.29;ADS;16826894;11575
Perfetti sconosciuti;Teljesen idegenek;2016.12.29;Cinenuovo;3017950;2244
The Great Wall;A nagy fal;2017.01.05;UIP;108086743;71012
Ozzy;Állati nagy szökés;2017.01.05;ADS;6703429;4770
Chi trova un amico, trova un tesoro;Kincs, ami nincs;2017.01.05;Cinenuovo;5761400;4801
Passengers;Utazók;2017.01.12;InterCom;98708465;66300
Surf's Up 2: WaveMania;Vigyázz, kész, szörf! 2;2017.01.12;Big Bang Media;6402168;4967
La tortue rouge;A vörös teknős;2017.01.12;MoziNet;1371910;1049
(M)uchenik / The Student;Mártírok;2017.01.12;Cinefilco;219000;200
Madeleine;Madeleine;2017.01.12;Amego;86960;213
A Dog's Purpose;Egy kutya négy élete;2017.01.26;Freeman;38305842;28967
Resident Evil: The Final Chapter;Kaptár - Utolsó fejezet;2017.01.26;InterCom;35696680;21758
Live by Night;Az éjszaka törvénye;2017.01.26;InterCom;18014913;12165
Az Állampolgár;Az Állampolgár;2017.01.26;MoziNet;2681611;2031
Vakfolt;Vakfolt;2017.01.26;Amego;732560;1003
Vakfolt;Vakfolt;2017.01.26;Amego;732560;1003
Rings;Körök;2017.02.02;UIP;15124401;10509
The Founder;Az alapító;2017.02.02;Forum;10163530;6507
The Space in Between: Marina Abramovic and Brazil;Marina Abramovic - A távolság, ami összeköt;2017.02.02;ADS;364560;297
Fifty Shades Darker;A sötét ötven árnyalata;2017.02.09;UIP;139075741;101648
The LEGO Batman Movie;Lego Batman - A film;2017.02.09;InterCom;48524595;33562
Jackie;Jackie;2017.02.09;MoziNet;10280807;7369
Fist Fight;Pofoncsata;2017.02.16;InterCom;31755010;22025
Gold;Arany;2017.02.16;Freeman;22221335;15044
A Cure for Wellness;Az egészség ellenszere;2017.02.16;InterCom;20267280;14051
Moonlight;Holdfény;2017.02.16;Vertigo;6489468;4834
Lion;Oroszlán;2017.02.16;Forum;6019275;3917
Kojot;Kojot;2017.02.16;Hungaricom;1750880;1700
John Wick: Chapter 2;John Wick: 2. felvonás;2017.02.23;Freeman;66772090;46027
Manchester by the Sea;A régi város;2017.02.23;InterCom;8048974;5393
Tékasztorik;Tékasztorik;2017.02.23;Anjou Lafayette;5986955;4030
Logan;Logan – Farkas;2017.03.02;InterCom;93630000;63238
T2 Trainspotting;T2 Trainspotting;2017.03.02;InterCom;14780450;9988
A Monster Calls;Szólít a szörny;2017.03.02;Freeman;2612570;1804
Kong: Skull Island;Kong – Koponya-sziget;2017.03.09;InterCom;82120064;50563
Rock Dog;Rock Csont;2017.03.09;Big Bang Media;11605538;8492
The White King;A fehér király;2017.03.09;Vertigo;3271800;2597
Kincsem;Kincsem;2017.03.16;Forum;97296195;72089
Silence;Némaság;2017.03.16;Freeman;8331444;5728
Beauty and the Beast;A szépség és a szörnyeteg;2017.03.26;Forum;131906045;90589
Life;Élet;2017.03.26;InterCom;34541553;23422
Chips;Bukós szakasz;2017.03.26;InterCom;18945947;12990
Stefan Zweig: Farewell to Europe;Stefan Zweig - Búcsú Európától;2017.03.26;MoziNet;624465;510
Ghost In the Shell;Páncélba zárt szellem;2017.03.30;UIP;46785299;29441
Smurfs: The Lost Village;Hupikék törpikék 3. - Az elveszett falu;2017.03.30;InterCom;27638467;20832
The Zookeeper's Wife;Menedék;2017.03.30;UIP;5509548;3822
Voyage of Time: Life's Journey;Az Univerzum története;2017.03.30;Vertigo;2114360;1746
Going in Style;Vén rókák;2017.04.06;InterCom;31884410;21887
Brazilok;Brazilok;2017.04.06;InterCom;19097218;13199
Power Rangeres;Power Rangeres;2017.04.06;Freeman;11267535;8040
On The Milky Road;Tejben vajben szerelemben;2017.04.06;ADS;1578585;1143
The Fate of the Furious;Halálos iramban 8;2017.04.13;UIP;185909954;130341
Boss Baby;Bébi úr;2017.04.13;InterCom;68969962;50511
American Pastoral;Amerikai pasztorál;2017.04.13;MoziNet;3167673;2226
Rabbit School;Nyuszi suli;2017.04.13;ADS;1389015;2726
Unforgettable;Öldöklő szerelem;2017.04.20;InterCom;20088030;13604
Get Out;Tűnj el !;2017.04.20;UIP;19988740;13700
1 945;1 945;2017.04.20;Katapult Film;9126832;7321
The Circle;A kör;2017.04.27;Big Bang Media;24417218;16538
The Bye Bye Man;Bye Bye Man - A rettegés neve;2017.04.27;Freeman;15231033;11072
Lengemesék;Lengemesék;2017.04.27;Vertigo;2710324;2646
A tökéletes gyilkos;A tökéletes gyilkos;2017.04.27;Forum;2320185;1601
6.9 pe scara Richter;6,9 a Richter-skálán;2017.04.27;Vertigo;718855;581
Guardians of the Galaxy Vol. 2;A galaxis őrzőivol. 2;2017.05.04;Forum;145225680;96108
How to Be a Latin Lover;Hogyan legyél latin szerető;2017.05.04;Big Bang Media;16779459;11408
Julieta;Julieta;2017.05.04;Cinetel;2600780;1938
King Arthur: Legend of the Sword;Arthur király - A kard legendája;2017.05.11;InterCom;44345098;28393
Snatched;Ó, anyám!;2017.05.11;InterCom;23365985;16166
Deep;Csápi - Az óceán hőse;2017.05.11;Freeman;5905110;4617
Richard the Stork;Ricsi a gólya;2017.05.11;Big Bang Media;4070557;3034
Ostatnia rodzina;Az utolsó család;2017.05.11;MoziNet;202720;170
Alien: Covenant;Alien: Covenant;2017.05.18;InterCom;112998875;74015
Pirates of the Caribbean: Dead Men Tell No Tales;A Karib-tenger kalózai: Salazár bosszúja;2017.05.25;Forum;145787710;99193
The Dragon Spell;Sárkányvarázs;2017.05.25;ADS;1168280;809
Wonder Woman;Wonder Woman;2017.06.01;InterCom;55064207;35282
Diary of a Wimpy Kid: The Long Haul;Egy ropi naplója - A nagy kiruccanás;2017.06.01;InterCom;10422320;8015
Radin !;A sóher;2017.06.01;Vertigo;7320430;5008
The Mummy;A múmia;2017.06.08;UIP;81771568;52532
With Open Arms;Romazuri;2017.06.08;Cinetel;4375001;2940
Jupiter s Moon;Jupiter holdja;2017.06.08;InterCom;3158890;2252
Porto;Porto 35mm;2017.06.08;MoziNet;466290;354
Cars 3;Verdák 3;2017.06.15;Forum;66059995;48861
Rough Night;Csajok hajnlaig;2017.06.15;InterCom;36829551;25916
Once Upon a Time in Venice;Volt egyszer egy Venice;2017.06.15;Big Bang Media;11099165;7442
Transformers: The Last Knight;Transformers: Az utolsó lovag;2017.06.22;UIP;81633485;53824
Unlocked;Élesítve;2017.06.22;Forum;10103460;6727
Despicable Me 3;Gru 3;2017.06.29;UIP;186876351;138859
Baby Driver;Nyomd, bébi, nyomd;2017.06.29;InterCom;39830470;26633
Draberne fra Nibe;Kisvárosi gyilkosok;2017.06.29;Vertigo;2054670;1424
Spider-Man: Homecoming;Pókember – Hazatérés;2017.07.06;InterCom;87151695;57333
Overdrive;Kipörgetve;2017.07.06;Freeman;11595904;8194
Baywatch;Baywatch;2017.07.13;UIP;104735728;76410
War for the Planet of the Apes;A majmok bolygója – Háború;2017.07.13;InterCom;55255189;35014
Midwife;Én és a mostohám;2017.07.13;ADS;1639877;1232
Dunkirk;Dunkirk;2017.07.20;InterCom;61771997;42207
Valerian;Valerian;2017.07.20;Big Bang Media;58500968;38340
Atomic Blonde;Atomszőke;2017.07.27;Freeman;15167486;10535
Jungle Bunch;Dzsungel mentőakció;2017.07.27;Big Bang Media;6605194;5251
Á fond;Totál gáz;2017.07.27;Cinetel;3175595;2048
Everything, Everything;Minden, minden;2017.08.03;Forum;58232859;44889
The Dark Tower;A setét torony;2017.08.03;InterCom;41009554;29467
Annabelle 2: The Creation;Annabelle 2. - A teremtés;2017.08.10;InterCom;74186112;51118
The Emoji Movie;Az Emoji-film;2017.08.10;InterCom;46988492;35358
Fun Mom Dinner;Anyák elszabadulva;2017.08.10;Big Bang Media;13897057;9869
Telle mere, telle fille;Bébibumm;2017.08.10;Vertigo;5219738;3760
Pappa Pia;Pappa Pia;2017.08.15;InterCom;93223156;70658
The House;A szerencse háza;2017.08.17;InterCom;29166226;20781
The Nut Job 2: Nutty by Nature;A mogyoró-meló 2.;2017.08.17;Freeman;25844133;19518
The Promise;Az ígéret;2017.08.17;Vertigo;3479890;2738
Egy kupac kufli;Egy kupac kufli;2017.08.17;Kedd;2814051;2231
RAID DINGUE;RAID - A TÖRVÉNY NEMÉBEN;2017.08.17;ADS;2064305;1340
K.O.;K.O.;2017.08.17;MoziNet;1953695;1289
The Hitman's Bodyguard;Sokkal több mint testőr;2017.08.24;Freeman;49755193;35721
